MJD;Magnitude;Error;Facility;Filter;Observer
51584.231199999806;15.335;0.217;2MASS;2MASS(K);2MASS
51584.231199999806;16.073;0.136;2MASS;2MASS(J);2MASS
51584.231199999806;15.241;0.155;2MASS;2MASS(H);2MASS
56895.01586999977;18.09;0.027758756035343456;Gaia Alerts;GSA(G);Gaia Alerts
56973.249419999775;18.15;0.028773984147356668;Gaia Alerts;GSA(G);Gaia Alerts
56988.32645000005;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
57026.70758000016;18.1;0.02792543841237342;Gaia Alerts;GSA(G);Gaia Alerts
57051.70072000008;17.92;0.025072636247771216;Gaia Alerts;GSA(G);Gaia Alerts
57051.77473000018;18.08;0.027593068558175116;Gaia Alerts;GSA(G);Gaia Alerts
57123.4961600001;18.07;0.027428370042473765;Gaia Alerts;GSA(G);Gaia Alerts
57191.66073000012;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
57223.39992000023;18.15;0.028773984147356668;Gaia Alerts;GSA(G);Gaia Alerts
57251.96343;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
57291.17024999997;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
57307.6724299998;18.13;0.02843151486273759;Gaia Alerts;GSA(G);Gaia Alerts
57349.289840000216;18.1;0.02792543841237342;Gaia Alerts;GSA(G);Gaia Alerts
57365.79208000004;18.1;0.02792543841237342;Gaia Alerts;GSA(G);Gaia Alerts
57402.753039999865;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
57430.493300000206;18.13;0.02843151486273759;Gaia Alerts;GSA(G);Gaia Alerts
57430.56730000023;18.13;0.02843151486273759;Gaia Alerts;GSA(G);Gaia Alerts
57459.986159999855;18.01;0.02646061902852951;Gaia Alerts;GSA(G);Gaia Alerts
57503.47085999977;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
57524.28326679615;17.477017092957535;0.006205236443605089;DECAPS;DECAPS(i);DECAPS
57524.28326679615;17.131487030846856;0.006186869108939226;DECAPS;DECAPS(z);DECAPS
57524.28326679615;19.174733334827444;0.007820775201551776;DECAPS;DECAPS(g);DECAPS
57524.28326679615;18.002222692713843;0.007623210560284444;DECAPS;DECAPS(r);DECAPS
57528.29968000017;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
57528.475829999894;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
57602.765149999876;18.09;0.027758756035343456;Gaia Alerts;GSA(G);Gaia Alerts
57628.507869999856;18.1;0.02792543841237342;Gaia Alerts;GSA(G);Gaia Alerts
57668.885410000104;18.11;0.028093121663317743;Gaia Alerts;GSA(G);Gaia Alerts
57668.95941000013;18.11;0.028093121663317743;Gaia Alerts;GSA(G);Gaia Alerts
57683.88841000013;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
57683.96242000023;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
57725.155150000006;18.11;0.028093121663317743;Gaia Alerts;GSA(G);Gaia Alerts
57743.405910000205;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
57779.049380000215;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
57809.59421999985;18.1;0.02792543841237342;Gaia Alerts;GSA(G);Gaia Alerts
57809.66822999995;18.13;0.02843151486273759;Gaia Alerts;GSA(G);Gaia Alerts
57837.41600999981;18.1;0.02792543841237342;Gaia Alerts;GSA(G);Gaia Alerts
57837.59218000015;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
57882.827010000125;18.09;0.027758756035343456;Gaia Alerts;GSA(G);Gaia Alerts
57882.90102000022;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
57908.903880000114;18.11;0.028093121663317743;Gaia Alerts;GSA(G);Gaia Alerts
57909.08002000023;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
57909.154039999936;18.05;0.027101916318908473;Gaia Alerts;GSA(G);Gaia Alerts
58005.03487000009;18.11;0.028093121663317743;Gaia Alerts;GSA(G);Gaia Alerts
58005.10888000019;18.09;0.027758756035343456;Gaia Alerts;GSA(G);Gaia Alerts
58046.30587999988;18.11;0.028093121663317743;Gaia Alerts;GSA(G);Gaia Alerts
58060.48527000006;18.1;0.02792543841237342;Gaia Alerts;GSA(G);Gaia Alerts
58060.55928000016;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
58101.00490000006;18.16;0.028946762641760344;Gaia Alerts;GSA(G);Gaia Alerts
58121.42970999982;18.15;0.028773984147356668;Gaia Alerts;GSA(G);Gaia Alerts
58121.50371999992;18.15;0.028773984147356668;Gaia Alerts;GSA(G);Gaia Alerts
58189.389359999914;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
58215.71506999992;18.13;0.02843151486273759;Gaia Alerts;GSA(G);Gaia Alerts
58261.625779999886;18.11;0.028093121663317743;Gaia Alerts;GSA(G);Gaia Alerts
58261.69977999991;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
58289.62535999995;18.1;0.02792543841237342;Gaia Alerts;GSA(G);Gaia Alerts
58324.183540000115;18.13;0.02843151486273759;Gaia Alerts;GSA(G);Gaia Alerts
58360.829049999826;18.13;0.02843151486273759;Gaia Alerts;GSA(G);Gaia Alerts
58360.903059999924;18.1;0.02792543841237342;Gaia Alerts;GSA(G);Gaia Alerts
58381.32751000021;18.11;0.028093121663317743;Gaia Alerts;GSA(G);Gaia Alerts
58381.40151999984;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
58423.02117000008;17.88;0.024479356661960657;Gaia Alerts;GSA(G);Gaia Alerts
58437.27456999989;18.13;0.02843151486273759;Gaia Alerts;GSA(G);Gaia Alerts
58437.34857999999;18.15;0.028773984147356668;Gaia Alerts;GSA(G);Gaia Alerts
58476.974549999926;18.08;0.027593068558175116;Gaia Alerts;GSA(G);Gaia Alerts
58532.02515000012;18.15;0.028773984147356668;Gaia Alerts;GSA(G);Gaia Alerts
58532.20130999992;18.06;0.027264654585290062;Gaia Alerts;GSA(G);Gaia Alerts
58569.2597099999;18.13;0.02843151486273759;Gaia Alerts;GSA(G);Gaia Alerts
58569.43587000016;18.11;0.028093121663317743;Gaia Alerts;GSA(G);Gaia Alerts
58569.509879999794;18.15;0.028773984147356668;Gaia Alerts;GSA(G);Gaia Alerts
58594.440099999774;18.11;0.028093121663317743;Gaia Alerts;GSA(G);Gaia Alerts
58594.51410999987;18.13;0.02843151486273759;Gaia Alerts;GSA(G);Gaia Alerts
58639.92420999985;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
58639.99821999995;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
58669.74300999986;18.15;0.028773984147356668;Gaia Alerts;GSA(G);Gaia Alerts
58684.05680999998;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
58718.295630000066;18.15;0.028773984147356668;Gaia Alerts;GSA(G);Gaia Alerts
58718.36963000009;18.1;0.02792543841237342;Gaia Alerts;GSA(G);Gaia Alerts
58756.86118000001;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
58756.935190000106;18.13;0.02843151486273759;Gaia Alerts;GSA(G);Gaia Alerts
58781.6395899998;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
58781.7135999999;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
58781.889760000166;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
58825.28818000015;18.11;0.028093121663317743;Gaia Alerts;GSA(G);Gaia Alerts
58825.46433999995;18.1;0.02792543841237342;Gaia Alerts;GSA(G);Gaia Alerts
58853.331879999954;18.11;0.028093121663317743;Gaia Alerts;GSA(G);Gaia Alerts
58882.634930000175;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
58882.81110000005;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
58937.17065999983;18.14;0.028602236939542832;Gaia Alerts;GSA(G);Gaia Alerts
58937.24468;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
58979.78470000019;18.1;0.02792543841237342;Gaia Alerts;GSA(G);Gaia Alerts
59036.398630000185;18.15;0.028773984147356668;Gaia Alerts;GSA(G);Gaia Alerts
59036.47263999982;18.08;0.027593068558175116;Gaia Alerts;GSA(G);Gaia Alerts
59092.5774699999;18.12;0.028261811798101638;Gaia Alerts;GSA(G);Gaia Alerts
59092.651469999924;18.1;0.02792543841237342;Gaia Alerts;GSA(G);Gaia Alerts
